source_category,source_object,tag_rows,items,photos,destination_category,destination_object,type,allow_xp_change,object_xp_before,object_xp_after,item_xp_delta,status,approved_by,review
other,tyre,202,436,202,vehicles,tyre,,no,1,1,0,PENDING,,category reassigned other->vehicles Category changes from other to vehicles.
other,washingUp,79,102,79,other,other,,no,1,1,0,DISPUTED,,"Do not execute. LOSSY: ""washingUp"" becomes generic other"
sanitary,condoms,190,366,190,sanitary,condom,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
sanitary,earSwabs,172,294,172,sanitary,ear_swabs,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
sanitary,facemask,7742,7910,7742,medical,face_mask,,no,1,1,0,PENDING,,category reassigned sanitary->medical Category changes from sanitary to medical.
sanitary,gloves,2422,2562,2422,medical,gloves,,no,1,1,0,PENDING,,category reassigned sanitary->medical Category changes from sanitary to medical.
sanitary,menstrual,179,201,179,sanitary,sanitary_pad,,no,1,1,0,DISPUTED,,Do not execute. Destination may remove size/material detail or infer a different object; review or declare a more precise object.
sanitary,sanitiser,42,53,42,medical,sanitiser,,no,1,1,0,PENDING,,category reassigned sanitary->medical Category changes from sanitary to medical.
sanitary,toothpick,284,309,284,sanitary,other,,no,1,1,0,DISPUTED,,"Do not execute. LOSSY: ""toothpick"" becomes generic other"
sanitary,wetwipes,3326,6052,3326,sanitary,wipes,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
smoking,cigarette_box,9803,10245,9803,smoking,box,cigarette,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type cigarette; destination must approve this type."
smoking,filters,603,852,602,smoking,rolling_filter,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
smoking,rollingPapers,525,546,525,smoking,papers,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
smoking,tobaccopouch,408,434,408,smoking,pouch,tobacco,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type tobacco; destination must approve this type."
smoking,vapeOil,63,74,63,smoking,vape,e_liquid_bottle,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type e_liquid_bottle; destination must approve this type."
smoking,vapePen,484,582,484,smoking,vape,pen,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type pen; destination must approve this type."
softdrinks,brokenglass,42,145,42,softdrinks,broken_glass,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
softdrinks,energy_can,20498,20931,20498,softdrinks,can,energy,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type energy; destination must approve this type."
softdrinks,fizzy_bottle,6448,7831,6448,softdrinks,bottle,soda,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type soda; destination must approve this type."
softdrinks,iceTea_bottle,829,851,829,softdrinks,bottle,tea,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type tea; destination must approve this type."
softdrinks,icedTea_can,588,607,588,softdrinks,can,iced_tea,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type iced_tea; destination must approve this type."
softdrinks,juice_bottle,1862,1940,1862,softdrinks,bottle,juice,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type juice; destination must approve this type."
softdrinks,juice_carton,2243,2327,2243,softdrinks,carton,juice,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type juice; destination must approve this type."
softdrinks,milk_bottle,901,935,901,softdrinks,bottle,milk,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type milk; destination must approve this type."
softdrinks,milk_carton,827,874,827,softdrinks,carton,milk,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type milk; destination must approve this type."
softdrinks,pullRing,758,1168,758,softdrinks,pull_ring,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
softdrinks,soda_can,16462,18034,16462,softdrinks,can,soda,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type soda; destination must approve this type."
softdrinks,sports_bottle,2931,3277,2931,softdrinks,bottle,sports,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type sports; destination must approve this type."
softdrinks,straw_packaging,1039,1111,1039,softdrinks,straw_wrapper,,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged."
softdrinks,straws,7368,8438,7368,softdrinks,straw,,no,1,1,0,PENDING,,Same object and category; all categories must be approved together for one command.
softdrinks,water_bottle,17189,21889,17189,softdrinks,bottle,water,no,1,1,0,PENDING,,"Review meaning; quantity, extras and collection status must remain unchanged. Object encodes type water; destination must approve this type."
